Ticker,Company Name,Market Cap,Orbit Company Id
PSA,Public Storage,58.45B,tXmne0RQQbPMFIYl
TRV,"The Travelers Companies, Inc.",58.39B,tXmne0RQQbPMFZ1n
PCAR,PACCAR Inc,57.67B,tXmne0RQQbPP4l6n
GWW,"W.W. Grainger, Inc.",57.39B,tXmne0RQQbPMDNHh
MET,"MetLife, Inc.",57.19B,tXmne0RQQbUq2wXY
BK,The Bank of New York Mellon Corporation,56.62B,tXmoG2G39BkAIKiK
FICO,Fair Isaac Corporation,56.23B,tXmne0RQQbPLxStU
TGT,Target Corporation,56.07B,tXmne0RQQbUq2NWM
NXPI,NXP Semiconductors N.V.,56.00B,tXmne0RUGp9o3ycq
JCI,Johnson Controls International plc,54.95B,tXmoG22p8psFFswD
AMP,"Ameriprise Financial, Inc.",54.46B,tXmne0RQPS9T2IFM
PSX,Phillips 66,54.29B,tXmoG2XbfYzqYvgG
URI,"United Rentals, Inc.",53.85B,tXmne0RQQbPNMtcn
CPRT,"Copart, Inc.",53.39B,tXmne0RQQbPOUAtg
FANG,"Diamondback Energy, Inc.",52.98B,tXmoG2XbgBc0mSi5
VST,Vistra Corp.,52.61B,tXmoG27IRnI0WXUr
DHI,"D.R. Horton, Inc.",52.39B,tXmne0RQQbPLxBqT
ALL,The Allstate Corporation,52.24B,tXmne0RQQbPLwdRa
MNST,Monster Beverage Corporation,52.22B,tXmoG22rqXCQYRJ9
AEP,"American Electric Power Company, Inc.",51.55B,tXmne0RQQbPLwdZn
AZO,"AutoZone, Inc.",51.55B,tXmne0RQQbPLwvq8
MPC,Marathon Petroleum Corporation,51.22B,tXmoG2G5sMvZgKKn
PAYX,"Paychex, Inc.",51.04B,tXmne0RQQbPP4miP
O,Realty Income Corporation,49.93B,tXmne0RQQbPLvoYC
CMI,Cummins Inc.,49.52B,tXmne0RQQbPLxBav
PWR,"Quanta Services, Inc.",49.06B,tXmne0RQQbPMFI2t
NEM,Newmont Corporation,48.73B,tXmne0RQQbPMFrwy
D,"Dominion Energy, Inc.",48.55B,tXmoG2G5sMvX8Uol
HWM,Howmet Aerospace Inc.,47.98B,tXmoG2G5t1NdJKWp
OXY,Occidental Petroleum Corporation,47.77B,tXmne0RQQbPMFrIT
COR,"Cencora, Inc.",47.67B,tXmne0RQQbPLwefU
FAST,Fastenal Company,46.87B,tXmne0RQQbPOVGA9
AIG,"American International Group, Inc.",46.57B,tXmne0RQQbPLwd3t
AXON,"Axon Enterprise, Inc.",46.50B,tXmne0RQPS9T2ary
LHX,"L3Harris Technologies, Inc.",46.35B,tXmoG2G39UGJUbAN
FIS,"Fidelity National Information Services, Inc.",46.24B,tXmne0RQPS9T2q9X
ROST,"Ross Stores, Inc.",46.22B,tXmne0RQQbPP5bbl
NDAQ,"Nasdaq, Inc.",46.03B,tXms64W1bZ1kNxOJ
ODFL,"Old Dominion Freight Line, Inc.",45.76B,tXmne0RQQbPP35jM
LEN,Lennar Corporation,45.63B,tXmne0RQQbPMETqm
MSCI,MSCI Inc.,45.61B,tXmne0RQQbPOVpCi
KVUE,Kenvue Inc.,45.59B,tXmoG3nIe7SZTd6v
KMB,Kimberly-Clark Corporation,45.48B,tXmne0RQQbPMECH7
CCI,Crown Castle Inc.,45.36B,tXmoG22p8IOPYcxC
HES,Hess Corporation,45.29B,tXmne0RQQbPLwd7F
PCG,PG&E Corporation,45.10B,tXmne0RQQbPMFrVh
PEG,Public Service Enterprise Group Incorporated,45.08B,tXmne0RQQbPMFI2o
AME,"AMETEK, Inc.",44.72B,tXmne0RQQbPLwej0
VLO,Valero Energy Corporation,44.70B,tXmne0RQQbPNMtkG
TRGP,Targa Resources Corp.,44.23B,tXmoG2G5rQARFErP
TEL,TE Connectivity plc,44.22B,tXmoG2XbitEOfc1c
PRU,"Prudential Financial, Inc.",44.18B,tXmne0RQQbPJg5aX
BKR,Baker Hughes Company,43.85B,tXmne0RQQbPLwLXd
EA,Electronic Arts Inc.,43.72B,tXmne0RQQbPJfYYQ
STZ,"Constellation Brands, Inc.",43.52B,tXmne0RQQbPRcKS8
KDP,Keurig Dr Pepper Inc.,43.46B,tXmne0RUFagwaj5F
DFS,Discover Financial Services,43.38B,tXmne0RQQbPKoVw4
F,Ford Motor Company,42.64B,tXmne0RQQbPLvo2K
KR,The Kroger Co.,41.68B,tXmne0RQQbPLvGdW
IR,Ingersoll Rand Inc.,41.55B,tXmoG22mfHbUhqSa
EW,Edwards Lifesciences Corporation,41.01B,tXmne0RQQbUpWkHA
DAL,"Delta Air Lines, Inc.",40.80B,tXmne0RQQbPLxBmN
GLW,Corning Incorporated,40.54B,tXmne0RQQbPLxkAm
CTVA,"Corteva, Inc.",40.39B,tXmoG3c73RYXR5cH
XEL,Xcel Energy Inc.,40.23B,tXmne0RQQbPMFrAF
VRSK,"Verisk Analytics, Inc.",40.13B,tXmne0RUFazh0aqI
IT,"Gartner, Inc.",39.96B,tXmne0RQQbPLvF5F
OTIS,Otis Worldwide Corporation,39.82B,tXmoG3daC50ZCKNG
CBRE,"CBRE Group, Inc.",39.64B,tXmne0RQPS9T03YR
GRMN,Garmin Ltd.,39.48B,tXmne0RQQbUscQCZ
EXC,Exelon Corporation,38.92B,tXmne0RQQbPLvWN8
GEHC,GE HealthCare Technologies Inc.,38.79B,tXmoG2G39BkAJzfr
CTSH,Cognizant Technology Solutions Corporation,38.46B,tXmne0RQQbPNOFAB
LULU,Lululemon Athletica Inc.,37.85B,tXmne0RQPSVH47bC
KHC,The Kraft Heinz Company,37.34B,tXmoG2XcAoNVoCR5
YUM,"Yum! Brands, Inc.",37.08B,tXmne0RQQbPNMsRL
A,"Agilent Technologies, Inc.",36.94B,tXmne0RQQbPRdiIC
VMC,Vulcan Materials Company,36.69B,tXmne0RQQbPNMKnC
EXR,Extra Space Storage Inc.,36.41B,tXmne0RQQbPKonLA
LVS,Las Vegas Sands Corp.,36.19B,tXmne0RQQbPRctvx
SYY,Sysco Corporation,36.17B,tXmne0RQQbPNMbOF
ACGL,Arch Capital Group Ltd.,35.86B,tXmne0RQQbUq3CC4
MLM,"Martin Marietta Materials, Inc.",35.77B,tXmne0RQQbPMETPg
RMD,ResMed Inc.,35.45B,tXmne0RQQbPMFZCD
MTB,M&T Bank Corporation,35.43B,tXmne0RQQbPMETCM
GIS,"General Mills, Inc.",35.42B,tXmne0RQQbPMDNyT
HUM,Humana Inc.,35.40B,tXmne0RQQbPMD4Oo
HPQ,HP Inc.,35.35B,tXmne0RQQbPMD4F2
IQV,IQVIA Holdings Inc.,35.28B,tXmoG27IRnIYGr7f
HSY,The Hershey Company,35.21B,tXmne0RQQbPMD4F3
MCHP,Microchip Technology Incorporated,34.97B,tXmne0RQQbPP3geP
NUE,Nucor Corporation,34.79B,tXmne0RQQbPMFrEM
IDXX,"IDEXX Laboratories, Inc.",34.28B,tXmne0RQQbPOWvWF
HIG,"The Hartford Financial Services Group, Inc.",34.27B,tXmne0RQQbPMD4tF
DD,"DuPont de Nemours, Inc.",34.21B,tXmoG27GjIDb2Kyu
IRM,Iron Mountain Incorporated,34.13B,tXmoG22rqldblQAQ
WAB,Westinghouse Air Brake Technologies Corporation,34.06B,tXmne0RQQbUq24A0
ED,"Consolidated Edison, Inc.",33.91B,tXmne0RQQbPLvpe8
VICI,VICI Properties Inc.,33.86B,tXmoG27PkTNraWqN
EIX,Edison International,33.34B,tXmne0RQQbPLxR9g
RJF,"Raymond James Financial, Inc.",32.97B,tXms64W1bZ1kNOA8
TTWO,"Take-Two Interactive Software, Inc.",32.58B,tXmne0RQQbUurrpA
CCL,Carnival Corporation & plc,32.58B,tXmne0RQPS9QBBeS
AVB,"AvalonBay Communities, Inc.",32.41B,tXmne0RQQbPLwvi0
ETR,Entergy Corporation,32.31B,tXmne0RQQbPLxShx
ROK,"Rockwell Automation, Inc.",31.62B,tXmne0RQQbPMFZKR
LYV,"Live Nation Entertainment, Inc.",31.48B,tXmoG2G4btHHYiEW
WEC,"WEC Energy Group, Inc.",31.40B,tXmne0RQQbPNM054
BRO,"Brown & Brown, Inc.",31.34B,tXmne0RQQbUq2frZ
CSGP,"CoStar Group, Inc.",31.27B,tXmne0RQQbUq4Jh2
UAL,"United Airlines Holdings, Inc.",31.12B,tXmne0RQQbPNMsVV
WTW,Willis Towers Watson Public Limited Company,31.08B,tXmne0RQPS9T1BWL
FITB,Fifth Third Bancorp,31.05B,tXmne0RQQbPOVGFi
DOW,Dow Inc.,30.86B,tXmoG2G4aeJc1B0v
EFX,Equifax Inc.,30.63B,tXmne0RQQbPLxShF
ANSS,"ANSYS, Inc.",29.93B,tXmne0RQQbPNNzko
XYL,Xylem Inc.,29.84B,tXmoG2W8HZ2INAse
CNC,Centene Corporation,29.84B,tXmne0RQQbPJgOAN
DXCM,"DexCom, Inc.",29.39B,tXmne0RQQbPKnhm9
GPN,Global Payments Inc.,29.22B,tXmne0RQQbPH6LIb
EBAY,eBay Inc.,29.13B,tXmne0RQQbPOU8vc
CAH,"Cardinal Health, Inc.",29.12B,tXmne0RQQbPLw3gH
EQR,Equity Residential,28.90B,tXmne0RQQbPLxSlK
SW,Smurfit Westrock Plc,28.86B,tXmne0RQPSVH4y9A
TSCO,Tractor Supply Company,28.85B,tXmne0RQPS9Ptc3g
ON,ON Semiconductor Corporation,28.66B,tXmne0RQQbUvzPwZ
KEYS,"Keysight Technologies, Inc.",28.56B,tXmoG22nAq0L7oer
PPG,"PPG Industries, Inc.",28.10B,tXmne0RQQbPMFrZq
STT,State Street Corporation,27.94B,tXmne0RQQbPMGg4o
K,Kellanova,27.84B,tXmne0RQQbPLvoYw
EQT,EQT Corporation,27.77B,tXmoG22oSmi6pEV2
NVR,"NVR, Inc.",27.57B,tXmne0RQQbPMFaSc
HPE,Hewlett Packard Enterprise Company,27.51B,tXmoG22t0cDHqXLm
HAL,Halliburton Company,27.39B,tXmne0RQQbPMD4hm
MPWR,"Monolithic Power Systems, Inc.",27.32B,tXmne0RQQbPKpcEf
CHD,"Church & Dwight Co., Inc.",27.27B,tXmne0RQQbPLxjZb
DOV,Dover Corporation,27.18B,tXmne0RQQbPLxBu4
VTR,"Ventas, Inc.",27.12B,tXmne0RQQbPNMJQy
AWK,"American Water Works Company, Inc.",26.87B,tXmne0RQQbPLwd3z
DECK,Deckers Outdoor Corporation,26.79B,tXmne0RQQbPOURAl
LYB,LyondellBasell Industries N.V.,26.79B,tXmoG2G4bM3VFWQZ
GDDY,GoDaddy Inc.,26.69B,tXmoG22oSmi9QLPZ
BR,"Broadridge Financial Solutions, Inc.",26.35B,tXmne0RQQbPKoEx5
FTV,Fortive Corporation,26.28B,tXmoG22vjnh9lPfh
PHM,"PulteGroup, Inc.",26.26B,tXmne0RQQbPMFI2n
TROW,"T. Rowe Price Group, Inc.",26.11B,tXmne0RQQbPP4DlN
VLTO,Veralto Corporation,25.99B,tXmoG3nL7wR48jdz
CPAY,"Corpay, Inc.",25.74B,tXmne0RR6frjFv2x
TYL,"Tyler Technologies, Inc.",25.73B,tXmne0RQQbUq24wS
ADM,Archer-Daniels-Midland Company,25.61B,tXmne0RQQbPLwveN
HBAN,Huntington Bancshares Incorporated,25.38B,tXmne0RQQbPOWvKh
DTE,DTE Energy Company,25.30B,tXmne0RQPS0ms0Yw
PPL,PPL Corporation,25.29B,tXmne0RQQbUq2Nx3
NTAP,"NetApp, Inc.",25.28B,tXmne0RQQbPP3OkY
DVN,Devon Energy Corporation,25.16B,tXmne0RQQbUq2fUV
SYF,Synchrony Financial,25.07B,tXmoG22oQazWPMuQ
MTD,Mettler-Toledo International Inc.,24.62B,tXmne0RQQbPMFaxF
AEE,Ameren Corporation,24.62B,tXmne0RQQbPLwdZm
WBD,"Warner Bros. Discovery, Inc.",24.41B,tXmne0RQQbPP3NV6
FE,FirstEnergy Corp.,24.05B,tXmne0RQQbPLvFTi
ROL,"Rollins, Inc.",23.94B,tXmne0RQQbPMFZOW
HUBB,Hubbell Incorporated,23.91B,tXmne0RQQbPRc1Bw
RF,Regions Financial Corporation,23.87B,tXmne0RQQbPP4UoL
CINF,Cincinnati Financial Corporation,23.70B,tXmne0RQQbPNOFoj
SBAC,SBA Communications Corporation,23.54B,tXmoG27IRnIZOQT4
CDW,CDW Corporation,23.45B,tXmne0RQQbPNOn4F
EL,The Estée Lauder Companies Inc.,23.45B,tXmne0RQQbPLvF9N
WRB,W. R. Berkley Corporation,23.22B,tXmne0RQQbPNN65L
EXPE,"Expedia Group, Inc.",22.99B,tXmoG2XbhxAdEbqs
ATO,Atmos Energy Corporation,22.88B,tXmne0RQQbPLwvm4
BIIB,Biogen Inc.,22.73B,tXmne0RQQbPOWvOu
IFF,International Flavors & Fragrances Inc.,22.71B,tXmne0RQQbPMECjl
PTC,PTC Inc.,22.64B,tXmne0RQQbPP4meB
ES,Eversource Energy,22.57B,tXmne0RQQbPLvGh9
WST,"West Pharmaceutical Services, Inc.",22.57B,tXmne0RQQbUq24wZ
TSN,"Tyson Foods, Inc.",22.51B,tXmne0RQQbPNMsZV
WY,Weyerhaeuser Company,22.28B,tXmne0RQQbPLvW4D
WDC,Western Digital Corporation,22.07B,tXmne0RQQbPNM01S
ERIE,Erie Indemnity Company,21.93B,tXmne0RQQbPOVpSL
STLD,"Steel Dynamics, Inc.",21.93B,tXmne0RQQbPRbnjg
TDY,Teledyne Technologies Incorporated,21.92B,tXmne0RQQbUq2N0W
CBOE,"Cboe Global Markets, Inc.",21.83B,tXmne0RR5VVOi4pp
PKG,Packaging Corporation of America,21.77B,tXmne0RQQbUq2Nx7
ZBH,"Zimmer Biomet Holdings, Inc.",21.75B,tXmne0RQQbPLvoL6
LDOS,"Leidos Holdings, Inc.",21.64B,tXmne0RQQbPH6dpN
NTRS,Northern Trust Corporation,21.38B,tXmne0RQQbPP34Zd
WAT,Waters Corporation,21.24B,tXmne0RQQbPNM0PB
STE,STERIS plc,20.95B,tXmoG3c74aJE66o6
FOXA,Fox Corporation,20.87B,tXmoG3c9lud9wkt1
CLX,The Clorox Company,20.80B,tXmne0RQQbPLxkbv
STX,Seagate Technology Holdings plc,20.73B,tXmoG2G4bNrkH0BG
INVH,Invitation Homes Inc.,20.71B,tXmoG27ITgj6uCTa
MKC,"McCormick & Company, Incorporated",20.70B,tXmne0RQQbPMETXs
CNP,"CenterPoint Energy, Inc.",20.58B,tXmne0RQQbUq2NKs
CMS,CMS Energy Corporation,20.47B,tXmne0RQQbPLw28w
IP,International Paper Company,20.44B,tXmne0RQQbPLvF9T
CFG,"Citizens Financial Group, Inc.",20.33B,tXmne0RR6yEgR8TB
FOX,Fox Corporation,20.32B,tXmoG3c9lud9wkt1
BLDR,"Builders FirstSource, Inc.",20.12B,tXmne0RQQbPKptC7
ESS,"Essex Property Trust, Inc.",20.02B,tXmne0RQQbPLxSlL
